,,time_seconds,time_seconds,objective_value,objective_value,jain_fairness,jain_fairness,instance_name
,,mean,std,mean,std,mean,std,count
instance_size,algorithm,,,,,,,
50,beam_search,2.933948,0.133048,2129.337833,282.317026,0.5,0.0,30
50,deterministic,0.000803,6.7e-05,3332.88595,324.732496,0.996112,0.003681,30
50,local_search,0.005487,0.000908,336.196124,77.142825,0.981833,0.028206,30
50,random,7.4e-05,1.7e-05,3365.131269,363.047022,0.981407,0.020548,30
50,simulated_annealing,0.054817,0.003512,3356.437833,300.538844,0.5,0.0,30
100,deterministic,0.002928,0.000208,9478.779301,441.106786,0.997348,0.004212,30
100,local_search,0.018622,0.0005,413.076684,66.486411,0.963616,0.046132,30
100,random,0.000142,2.8e-05,9615.134729,461.63056,0.992236,0.009391,30
100,simulated_annealing,0.138369,0.013103,9631.209667,456.422749,0.5,0.0,30
200,deterministic,0.011867,0.000469,26721.266473,1044.352586,0.99662,0.002114,30
200,local_search,0.079654,0.004713,1183.702901,120.792818,0.959283,0.024234,30
200,random,0.00039,3.6e-05,26986.228727,1014.455426,0.986537,0.009735,30
500,deterministic,0.078827,0.006996,104116.31323,4235.476059,0.99657,0.001845,30
500,local_search,0.433998,0.045649,4234.662135,412.145455,0.95912,0.022359,30
500,random,0.001732,0.00022,105308.860651,4018.805175,0.977711,0.009206,30
