algorithm,instance_size,time_seconds_mean,time_seconds_std,time_seconds_min,time_seconds_max,objective_value_mean,objective_value_std,objective_value_min,objective_value_max,jain_fairness_mean,jain_fairness_std,jain_fairness_min,jain_fairness_max,num_instances
beam_search,50,2.9339,0.133,2.6688,3.3178,2129.3378,282.317,1688.79,2815.04,0.5,0.0,0.5,0.5,30
deterministic,50,0.0008,0.0001,0.0007,0.0011,3332.886,324.7325,2826.1599,4111.0067,0.9961,0.0037,0.9845,1.0,30
deterministic,100,0.0029,0.0002,0.0027,0.0038,9478.7793,441.1068,8490.13,10237.1895,0.9973,0.0042,0.9785,1.0,30
deterministic,200,0.0119,0.0005,0.0113,0.0136,26721.2665,1044.3526,24585.082,29183.2284,0.9966,0.0021,0.9912,0.9997,30
deterministic,500,0.0788,0.007,0.0727,0.0959,104116.3132,4235.4761,96015.9697,110654.6905,0.9966,0.0018,0.9917,0.9991,30
local_search,50,0.0055,0.0009,0.0045,0.0088,336.1961,77.1428,209.0544,473.1303,0.9818,0.0282,0.8963,1.0,30
local_search,100,0.0186,0.0005,0.0179,0.0195,413.0767,66.4864,274.4271,526.5466,0.9636,0.0461,0.7801,1.0,30
local_search,200,0.0797,0.0047,0.0729,0.092,1183.7029,120.7928,987.1927,1458.4647,0.9593,0.0242,0.8954,0.9883,30
local_search,500,0.434,0.0456,0.3836,0.5266,4234.6621,412.1455,3120.0607,4925.5094,0.9591,0.0224,0.8923,0.9924,30
random,50,0.0001,0.0,0.0,0.0001,3365.1313,363.047,2529.1029,4316.0077,0.9814,0.0205,0.9131,1.0,30
random,100,0.0001,0.0,0.0001,0.0002,9615.1347,461.6306,8471.0488,10303.0251,0.9922,0.0094,0.9672,0.9999,30
random,200,0.0004,0.0,0.0003,0.0005,26986.2287,1014.4554,25128.6512,29233.8578,0.9865,0.0097,0.9641,0.9992,30
random,500,0.0017,0.0002,0.0015,0.0026,105308.8607,4018.8052,97614.6392,112349.6014,0.9777,0.0092,0.9466,0.9893,30
simulated_annealing,50,0.0548,0.0035,0.0483,0.0627,3356.4378,300.5388,2658.79,3921.905,0.5,0.0,0.5,0.5,30
simulated_annealing,100,0.1384,0.0131,0.1216,0.1704,9631.2097,456.4227,8340.03,10307.135,0.5,0.0,0.5,0.5,30
